step,a,b,c,x,xprime,y
71348,0,1,0,9933,9,5
72019,0,1,0,9934,8,5
72262,0,1,0,9935,7,5
72862,0,1,0,9936,6,5
73178,0,1,0,9937,5,5
73395,1,1,0,9937,5,5
73400,1,1,1,9935,6,5
73407,1,1,2,9933,7,5
73410,1,1,1,9933,7,5
73426,1,1,2,9931,8,5
73431,1,1,1,9931,8,5
73439,1,1,2,9929,9,5
73448,1,1,3,9927,10,5
73450,1,1,2,9927,10,5
73457,1,1,1,9927,10,5
73460,1,1,2,9925,11,5
73463,1,1,3,9923,12,5
73477,1,1,2,9923,12,5
73481,1,1,3,9921,13,5
73485,1,1,2,9921,13,5
73486,1,1,3,9919,14,5
73492,1,1,4,9917,15,5
73496,1,1,3,9917,15,5
73519,1,1,4,9915,16,5
73520,1,1,3,9915,16,5
73530,1,1,4,9913,17,5
73537,1,1,5,9911,18,5
73541,1,1,4,9911,18,5
73543,1,1,5,9909,19,5
73545,1,1,6,9907,20,5
73554,1,1,7,9905,21,5
73558,1,1,6,9905,21,5
73564,1,1,5,9905,21,5
73567,1,1,4,9905,21,5
73570,1,1,3,9905,21,5
73571,1,1,4,9903,22,5
73575,1,1,5,9901,23,5
73584,0,1,5,9901,23,5
73605,0,1,4,9901,23,5
73606,0,1,3,9901,23,5
73619,0,1,2,9901,23,5
73623,0,1,1,9901,23,5
73778,0,1,1,9902,22,5
76272,0,1,0,9902,22,6
78005,0,1,0,9903,21,6
78165,0,1,0,9904,20,6
79032,0,1,0,9905,19,6
79953,0,1,0,9906,18,6
80462,0,1,0,9907,17,6
81371,0,1,0,9908,16,6
83116,0,1,0,9909,15,6
83791,0,1,0,9910,14,6
89340,0,1,0,9911,13,6
89651,0,1,0,9912,12,6
89722,0,1,0,9913,11,6
91248,0,1,0,9914,10,6
91990,0,1,0,9915,9,6
93187,0,1,0,9916,8,6
93616,0,1,0,9917,7,6
95725,0,1,0,9918,6,6
95988,0,1,0,9919,5,6
98661,0,1,0,9920,4,6
100449,0,1,0,9921,3,6
101282,0,1,0,9922,2,6
101842,0,1,0,9923,1,6
102148,0,1,0,9924,0,6
138457,1,1,0,9924,0,6
138466,1,1,1,9922,1,6
138486,1,1,2,9920,2,6
138490,1,1,1,9920,2,6
138495,1,1,2,9918,3,6
138497,1,1,1,9918,3,6
138500,0,1,1,9918,3,6
138718,0,1,1,9919,2,6
138721,0,1,0,9919,2,7
139068,0,1,0,9920,1,7
139205,0,1,0,9921,0,7
143292,1,1,0,9921,0,7
143296,0,1,0,9921,0,7
155236,1,1,0,9921,0,7
155237,1,1,1,9919,1,7
155253,1,1,2,9917,2,7
155263,1,1,3,9915,3,7
155271,1,1,2,9915,3,7
155273,1,1,3,9913,4,7
155275,1,1,4,9911,5,7
155278,1,1,5,9909,6,7
155286,1,1,4,9909,6,7
155302,1,1,5,9907,7,7
155321,1,1,6,9905,8,7
155326,1,1,5,9905,8,7
155340,1,1,6,9903,9,7
155349,1,1,5,9903,9,7
155353,1,1,4,9903,9,7
155354,1,1,5,9901,10,7
155363,1,1,6,9899,11,7
155366,1,1,7,9897,12,7
155367,1,1,8,9895,13,7
155372,0,1,8,9895,13,7
155376,0,1,7,9895,13,7
155378,0,1,6,9895,13,7
155405,0,1,5,9895,13,7
155417,0,1,4,9895,13,7
155418,0,1,3,9895,13,7
155420,0,1,2,9895,13,7
155424,0,1,1,9895,13,7
156501,0,1,1,9896,12,7
156781,0,1,1,9897,11,7
157554,0,1,1,9898,10,7
157937,0,1,1,9899,9,7
157995,0,1,0,9899,9,8
158258,0,1,0,9900,8,8
159520,0,1,0,9901,7,8
159936,1,1,0,9901,7,8
159954,1,1,1,9899,8,8
159958,1,1,2,9897,9,8
159959,1,1,1,9897,9,8
159962,0,1,1,9897,9,8
160047,0,1,1,9898,8,8
160596,0,1,0,9898,8,9
160875,0,1,0,9899,7,9
161070,0,1,0,9900,6,9
161814,0,1,0,9901,5,9
163280,1,1,0,9901,5,9
163291,1,1,1,9899,6,9
163326,1,1,2,9897,7,9
163333,1,1,3,9895,8,9
163337,1,1,2,9895,8,9
163343,1,1,3,9893,9,9
163345,1,1,4,9891,10,9
163347,1,1,3,9891,10,10
163350,1,1,4,9889,11,10
163355,1,1,3,9889,11,10
163359,1,1,4,9887,12,10
163364,1,1,5,9885,13,10
163367,1,1,4,9885,13,10
163371,1,1,5,9883,14,10
163376,1,1,4,9883,14,10
163382,1,1,3,9883,14,10
163384,1,1,3,9884,13,10
163398,1,1,2,9884,13,10
163405,1,1,1,9884,13,10
163432,1,1,2,9882,14,10
163443,1,1,1,9882,14,10
163457,1,1,2,9880,15,10
163459,1,1,3,9878,16,10
163461,1,1,4,9876,17,10
163468,1,1,3,9876,17,10
163469,1,1,4,9874,18,10
163473,1,1,5,9872,19,10
163474,1,1,6,9870,20,10
163475,1,1,7,9868,21,10
163476,1,1,6,9868,21,10
163483,1,1,7,9866,22,10
163485,1,1,8,9864,23,10
163487,1,1,7,9864,23,10
163492,1,1,8,9862,24,10
163501,1,1,9,9860,25,10
163508,1,1,8,9860,25,10
163509,1,1,7,9860,25,10
163513,1,1,8,9858,26,10
163517,1,1,7,9858,26,10
163522,1,1,6,9858,26,10
163527,1,1,7,9856,27,10
163530,1,1,8,9854,28,10
163532,1,1,9,9852,29,10
163533,1,1,10,9850,30,10
163536,1,1,11,9848,31,10
163539,1,1,10,9848,31,10
163541,1,1,11,9846,32,10
163542,1,1,12,9844,33,10
163544,1,1,13,9842,34,10
163552,1,1,14,9840,35,10
163553,1,1,15,9838,36,10
163554,1,1,16,9836,37,10
163557,1,1,15,9836,37,10
163569,1,1,16,9834,38,10
163570,1,1,15,9834,38,10
163571,1,1,14,9834,38,11
163574,1,1,13,9834,38,11
163575,1,1,12,9834,38,12
163580,1,1,13,9832,39,12
163591,1,1,12,9832,39,12
163593,1,1,11,9832,39,12
163595,1,1,10,9832,39,12
163598,1,1,9,9832,39,12
163602,0,1,9,9832,39,12
163610,0,1,8,9832,39,12
163611,0,1,7,9832,39,12
163612,0,1,6,9832,39,12
163615,0,1,5,9832,39,12
163616,0,1,4,9832,39,12
163628,0,1,3,9832,39,12
163638,0,1,2,9832,39,12
163642,0,1,1,9832,39,12
164239,0,1,1,9833,38,12
164306,0,1,1,9834,37,12
164815,0,1,1,9835,36,12
165074,0,1,0,9835,36,13
168389,0,1,0,9836,35,13
169554,0,1,0,9837,34,13
170185,0,1,0,9838,33,13
170861,0,1,0,9839,32,13
171037,0,1,0,9840,31,13
171860,0,1,0,9841,30,13
172189,0,1,0,9842,29,13
172253,0,1,0,9843,28,13
173247,0,1,0,9844,27,13
173896,0,1,0,9845,26,13
174988,0,1,0,9846,25,13
176675,0,1,0,9847,24,13
177169,1,1,0,9847,24,13
177194,1,1,1,9845,25,13
177195,0,1,1,9845,25,13
178044,0,1,0,9845,25,14
179878,0,1,0,9846,24,14
180702,0,1,0,9847,23,14
181633,0,1,0,9848,22,14
182118,0,1,0,9849,21,14
182465,1,1,0,9849,21,14
182482,1,1,1,9847,22,14
182486,1,1,2,9845,23,14
182490,1,1,3,9843,24,14
182503,1,1,2,9843,24,14
182505,1,1,3,9841,25,14
182507,1,1,4,9839,26,14
182523,1,1,5,9837,27,14
182524,1,1,4,9837,27,14
182528,1,1,3,9837,27,14
182529,1,1,2,9837,27,14
182549,1,1,3,9835,28,14
182552,1,1,4,9833,29,14
182555,1,1,5,9831,30,14
182574,1,1,4,9831,30,14
182582,1,1,3,9831,30,14
182583,1,1,2,9831,30,14
182587,1,1,1,9831,30,14
182608,1,1,2,9829,31,14
182614,1,1,3,9827,32,14
182616,1,1,4,9825,33,14
182618,1,1,3,9825,33,14
182619,1,1,4,9823,34,14
182625,1,1,5,9821,35,14
182627,1,1,4,9821,35,14
182638,1,1,3,9821,35,14
182645,1,1,4,9819,36,14
182656,1,1,3,9819,36,14
182657,1,1,2,9819,36,14
182662,1,1,3,9817,37,14
182669,1,1,4,9815,38,14
182676,1,1,3,9815,38,14
182678,1,1,4,9813,39,14
182686,0,1,4,9813,39,14
182695,0,1,3,9813,39,14
182705,0,1,2,9813,39,14
182728,0,1,1,9813,39,14
182869,0,1,0,9813,39,15
183926,0,1,0,9814,38,15
185331,0,1,0,9815,37,15
186447,0,1,0,9816,36,15
187055,0,1,0,9817,35,15
187075,0,1,0,9818,34,15
187083,0,1,0,9819,33,15
189399,0,1,0,9820,32,15
189824,1,1,0,9820,32,15
189828,1,1,1,9818,33,15
189829,1,1,2,9816,34,15
189835,1,1,3,9814,35,15
189836,1,1,4,9812,36,15
189838,1,1,3,9812,36,15
189843,1,1,4,9810,37,15
189852,1,1,3,9810,37,15
189856,1,1,4,9808,38,15
189862,1,1,3,9808,38,15
189865,1,1,4,9806,39,15
189866,1,1,5,9804,40,15
189869,1,1,6,9802,41,15
189876,1,1,5,9802,41,15
189877,1,1,6,9800,42,15
189890,1,1,7,9798,43,15
189891,1,1,6,9798,43,15
189897,1,1,5,9798,43,15
189901,1,1,6,9796,44,15
189908,1,1,5,9796,44,15
189909,1,1,4,9796,44,15
189910,1,1,5,9794,45,15
189911,1,1,4,9794,45,15
189912,0,1,4,9794,45,15
189914,0,1,3,9794,45,15
189915,0,1,2,9794,45,15
189942,0,1,1,9794,45,15
190164,0,1,1,9795,44,15
190397,0,1,1,9796,43,15
190873,0,1,0,9796,43,16
191286,0,1,0,9797,42,16
191989,0,1,0,9798,41,16
194340,0,1,0,9799,40,16
194938,0,1,0,9800,39,16
195105,0,1,0,9801,38,16
195470,0,1,0,9802,37,16
197222,0,1,0,9803,36,16
197579,0,1,0,9804,35,16
197782,0,1,0,9805,34,16
198272,0,1,0,9806,33,16
199293,0,1,0,9807,32,16
201032,0,1,0,9808,31,16
201043,0,1,0,9809,30,16
201119,0,1,0,9810,29,16
201950,0,1,0,9811,28,16
202693,0,1,0,9812,27,16
202895,0,1,0,9813,26,16
203339,0,1,0,9814,25,16
204227,0,1,0,9815,24,16
206512,0,1,0,9816,23,16
207731,0,1,0,9817,22,16
208524,0,1,0,9818,21,16
208579,0,1,0,9819,20,16
208849,0,1,0,9820,19,16
210302,0,1,0,9821,18,16
212824,1,1,0,9821,18,16
212827,1,1,1,9819,19,16
212829,1,1,2,9817,20,16
212830,1,1,1,9817,20,16
212836,1,1,2,9815,21,16
212837,1,1,3,9813,22,16
212838,1,1,4,9811,23,16
212839,1,1,5,9809,24,16
212841,1,1,4,9809,24,16
212846,1,1,5,9807,25,16
212847,1,1,4,9807,25,16
212853,1,1,3,9807,25,16
212867,1,1,2,9807,25,16
212871,1,1,3,9805,26,16
212873,1,1,2,9805,26,16
212905,1,1,3,9803,27,16
212907,1,1,4,9801,28,16
212908,1,1,5,9799,29,16
212910,1,1,4,9799,29,16
212912,1,1,3,9799,29,16
212918,1,1,2,9799,29,16
212921,1,1,3,9797,30,16
212925,1,1,4,9795,31,16
212926,1,1,5,9793,32,16
212928,1,1,6,9791,33,16
212933,1,1,5,9791,33,16
212936,1,1,6,9789,34,16
212940,1,1,5,9789,34,16
212941,1,1,6,9787,35,16
212945,1,1,7,9785,36,16
212948,1,1,6,9785,36,16
212952,1,1,5,9785,36,16
212957,1,1,6,9783,37,16
212958,1,1,5,9783,37,16
212962,1,1,6,9781,38,16
212963,1,1,5,9781,38,16
212967,1,1,4,9781,38,16
212977,1,1,3,9781,38,16
212978,1,1,4,9779,39,16
213003,1,1,3,9779,39,16
213009,1,1,4,9777,40,16
213012,1,1,5,9775,41,16
213018,1,1,6,9773,42,16
213031,1,1,7,9771,43,16
213039,1,1,6,9771,43,16
213043,1,1,7,9769,44,16
213044,0,1,7,9769,44,16
213066,0,1,6,9769,44,16
213080,0,1,5,9769,44,16
213087,0,1,4,9769,44,16
213106,0,1,3,9769,44,16
213124,0,1,2,9769,44,16
213126,0,1,1,9769,44,16
215194,0,1,1,9770,43,16
215365,0,1,1,9771,42,16
215718,0,1,1,9772,41,16
215835,0,1,1,9773,40,16
216180,0,1,1,9774,39,16
217141,0,1,0,9774,39,17
217320,0,1,0,9775,38,17
219123,0,1,0,9776,37,17
219125,0,1,0,9777,36,17
219552,1,1,0,9777,36,17
219576,0,1,0,9777,36,17
220253,0,1,0,9778,35,17
220792,0,1,0,9779,34,17
221063,0,1,0,9780,33,17
221176,0,1,0,9781,32,17
221340,0,1,0,9782,31,17
221472,0,1,0,9783,30,17
223802,0,1,0,9784,29,17
226036,0,1,0,9785,28,17
226213,0,1,0,9786,27,17
226767,0,1,0,9787,26,17
227232,0,1,0,9788,25,17
228284,0,1,0,9789,24,17
228326,0,1,0,9790,23,17
228877,0,1,0,9791,22,17
229320,0,1,0,9792,21,17
229432,0,1,0,9793,20,17
230252,0,1,0,9794,19,17
230969,0,1,0,9795,18,17
232884,0,1,0,9796,17,17
233475,0,1,0,9797,16,17
233478,0,1,0,9798,15,17
233769,0,1,0,9799,14,17
234361,1,1,0,9799,14,17
234366,0,1,0,9799,14,17
236471,0,1,0,9800,13,17
236664,0,1,0,9801,12,17
237148,0,1,0,9802,11,17
238652,0,1,0,9803,10,17
238955,0,1,0,9804,9,17
239174,0,1,0,9805,8,17
240319,0,1,0,9806,7,17
241568,0,1,0,9807,6,17
242648,1,1,0,9807,6,17
242650,1,1,1,9805,7,17
242655,1,1,2,9803,8,17
242659,1,1,1,9803,8,17
242669,1,1,2,9801,9,17
242670,1,1,1,9801,9,17
242679,1,1,2,9799,10,17
242681,1,1,1,9799,10,17
242691,1,1,2,9797,11,17
242692,1,1,1,9797,11,17
242693,1,1,2,9795,12,17
242694,1,1,3,9793,13,17
242700,1,1,2,9793,13,17
242715,1,1,3,9791,14,17
242725,1,1,4,9789,15,17
242745,1,1,5,9787,16,17
242748,1,1,4,9787,16,17
242752,1,1,3,9787,16,17
242758,1,1,4,9785,17,17
242761,1,1,3,9785,17,17
242764,1,1,4,9783,18,17
242765,1,1,5,9781,19,17
242768,1,1,4,9781,19,17
242770,1,1,5,9779,20,17
242772,1,1,6,9777,21,17
242779,1,1,7,9775,22,17
242780,1,1,6,9775,22,17
242792,1,1,5,9775,22,17
242796,1,1,4,9775,22,17
242799,1,1,3,9775,22,17
242802,1,1,2,9775,22,17
242804,1,1,3,9773,23,17
242808,1,1,4,9771,24,17
242811,1,1,5,9769,25,17
242821,1,1,6,9767,26,17
242822,1,1,5,9767,26,17
242826,1,1,4,9767,26,17
242832,1,1,3,9767,26,17
242834,1,1,4,9765,27,17
242835,1,1,3,9765,27,17
242841,1,1,4,9763,28,17
242847,1,1,5,9761,29,17
242850,1,1,6,9759,30,17
242853,1,1,7,9757,31,17
242857,1,1,6,9757,31,17
242862,1,1,5,9757,31,17
242867,1,1,4,9757,31,17
242877,1,1,5,9755,32,17
242885,1,1,6,9753,33,17
242890,1,1,7,9751,34,17
242891,1,1,6,9751,34,17
242899,1,1,7,9749,35,17
242904,1,1,6,9749,35,17
242918,1,1,5,9749,35,17
242927,1,1,4,9749,35,17
242932,1,1,3,9749,35,17
242934,1,1,4,9747,36,17
242936,1,1,3,9747,36,17
242939,1,1,4,9745,37,17
242940,1,1,5,9743,38,17
242942,1,1,4,9743,38,17
242949,1,1,3,9743,38,17
242954,1,1,4,9741,39,17
242956,1,1,5,9739,40,17
242959,1,1,6,9737,41,17
242962,1,1,7,9735,42,17
242965,1,1,8,9733,43,17
242968,1,1,9,9731,44,17
242972,1,1,8,9731,44,17
242973,1,1,7,9731,44,17
242981,1,1,6,9731,44,17
242983,1,1,5,9731,44,17
242991,1,1,4,9731,44,17
242992,1,1,3,9731,44,17
242997,1,1,2,9731,44,17
243000,1,1,1,9731,44,17
243001,1,1,2,9729,45,17
243007,1,1,1,9729,45,17
243008,1,1,2,9727,46,17
243018,1,1,1,9727,46,17
243022,1,1,2,9725,47,17
243028,1,1,3,9723,48,17
243041,1,1,2,9723,48,17
243043,1,1,3,9721,49,17
243045,1,1,2,9721,49,17
243061,1,1,3,9719,50,17
243062,1,1,4,9717,51,17
243069,1,1,3,9717,51,17
243077,1,1,2,9717,51,17
243078,1,1,3,9715,52,17
243079,1,1,2,9715,52,17
243082,1,1,3,9713,53,17
243083,1,1,2,9713,53,17
243085,1,1,3,9711,54,17
243098,1,1,4,9709,55,17
243102,1,1,3,9709,55,17
243103,1,1,4,9707,56,17
243108,1,1,3,9707,56,17
243114,1,1,4,9705,57,17
